time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,6.3,dur,7,7,0,0,87000,10440,4.8,576,41
6.3,4.5,dur,5,12,6,50,87000,10440,3.0,360,40
10.8,4.5,dur,5,17,27,225,87000,10440,3.0,360,116
15.3,4.5,dur,5,22,57,475,87000,10440,3.0,360,95
19.8,4.5,dur,5,27,0,0,87000,10440,3.0,360,151
24.3,6.3,dur,7,34,12,100,87000,10440,4.8,576,99
30.6,7.2,dur,8,42,9,75,87000,10440,5.7,684,82
37.8,4.5,dur,5,47,12,100,87000,10440,3.0,360,78
42.3,6.3,dur,7,54,39,325,87000,10440,4.8,576,24
48.6,4.5,dur,5,59,18,150,87000,10440,3.0,360,145
53.1,4.5,dur,5,64,180,1500,87000,10440,3.0,360,144
57.6,5.4,dur,6,70,12,100,87000,10440,3.9000000000000004,468,135
63.0,6.3,dur,7,77,0,0,87000,10440,4.8,576,9
69.3,5.4,dur,6,83,0,0,87000,10440,3.9000000000000004,468,155
74.7,4.5,dur,5,88,180,1500,87000,10440,3.0,360,68
79.2,9.0,dur,10,98,84,700,87000,10440,7.5,900,105
88.2,4.5,dur,5,103,84,700,87000,10440,3.0,360,129
92.7,6.3,dur,7,110,6,50,87000,10440,4.8,576,133
99.0,4.5,dur,5,115,6,50,87000,10440,3.0,360,88
103.5,6.3,dur,7,122,12,100,87000,10440,4.8,576,86
109.8,5.4,dur,6,128,18,150,87000,10440,3.9000000000000004,468,16
115.2,9.0,dur,10,138,9,75,87000,10440,7.5,900,17
124.2,4.5,dur,5,143,18,150,87000,10440,3.0,360,111
128.7,4.5,dur,5,148,0,0,87000,10440,3.0,360,10
133.2,4.5,dur,5,153,57,475,87000,10440,3.0,360,128
137.7,9.0,dur,10,163,39,325,87000,10440,7.5,900,159
146.7,5.4,dur,6,169,39,325,87000,10440,3.9000000000000004,468,140
152.1,4.5,dur,5,174,84,700,87000,10440,3.0,360,138
156.6,5.4,dur,6,180,0,0,87000,10440,3.9000000000000004,468,18
162.0,4.5,dur,5,185,39,325,87000,10440,3.0,360,132
166.5,6.3,dur,7,192,27,225,87000,10440,4.8,576,120
172.8,4.5,dur,5,197,9,75,87000,10440,3.0,360,127
177.3,9.0,dur,10,207,123,1025,87000,10440,7.5,900,8
186.3,5.4,dur,6,213,57,475,87000,10440,3.9000000000000004,468,108
191.7,4.5,dur,5,218,57,475,87000,10440,3.0,360,21
196.2,4.5,dur,5,223,27,225,87000,10440,3.0,360,5
200.7,4.5,dur,5,228,18,150,87000,10440,3.0,360,92
205.2,4.5,dur,5,233,123,1025,87000,10440,3.0,360,74
209.7,4.5,dur,5,238,18,150,87000,10440,3.0,360,2
214.2,5.4,dur,6,244,27,225,87000,10440,3.9000000000000004,468,130
219.6,4.5,dur,5,249,9,75,87000,10440,3.0,360,89
224.1,6.3,dur,7,256,84,700,87000,10440,4.8,576,73
230.4,7.2,dur,8,264,84,700,87000,10440,5.7,684,91
237.6,4.5,dur,5,269,39,325,87000,10440,3.0,360,118
242.1,4.5,dur,5,274,12,100,87000,10440,3.0,360,148
246.6,9.0,dur,10,284,57,475,87000,10440,7.5,900,45
255.6,4.5,dur,5,289,0,0,87000,10440,3.0,360,123
260.1,5.4,dur,6,295,9,75,87000,10440,3.9000000000000004,468,139
265.5,6.3,dur,7,302,6,50,87000,10440,4.8,576,32
271.8,5.4,dur,6,308,180,1500,87000,10440,3.9000000000000004,468,94
277.2,5.4,dur,6,314,6,50,87000,10440,3.9000000000000004,468,62
282.6,4.5,dur,5,319,123,1025,87000,10440,3.0,360,121
287.1,4.5,dur,5,324,123,1025,87000,10440,3.0,360,54
291.6,6.3,dur,7,331,180,1500,87000,10440,4.8,576,104
297.9,6.3,dur,7,338,123,1025,87000,10440,4.8,576,6
304.2,5.4,dur,6,344,0,0,87000,10440,3.9000000000000004,468,53
309.6,4.5,dur,5,349,27,225,87000,10440,3.0,360,93
314.1,9.9,dur,11,360,180,1500,87000,10440,8.4,1008,67
