time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,6.3,dur,7,7,12,100,87000,10440,4.8,576,145
6.3,4.5,dur,5,12,12,100,87000,10440,3.0,360,33
10.8,5.4,dur,6,18,18,150,87000,10440,3.9000000000000004,468,91
16.2,4.5,dur,5,23,0,0,87000,10440,3.0,360,44
20.7,5.4,dur,6,29,18,150,87000,10440,3.9000000000000004,468,43
26.1,6.3,dur,7,36,18,150,87000,10440,4.8,576,17
32.4,4.5,dur,5,41,39,325,87000,10440,3.0,360,110
36.9,6.3,dur,7,48,57,475,87000,10440,4.8,576,57
43.2,4.5,dur,5,53,180,1500,87000,10440,3.0,360,144
47.7,4.5,dur,5,58,27,225,87000,10440,3.0,360,67
52.2,4.5,dur,5,63,39,325,87000,10440,3.0,360,101
56.7,4.5,dur,5,68,84,700,87000,10440,3.0,360,121
61.2,4.5,dur,5,73,0,0,87000,10440,3.0,360,120
65.7,8.1,dur,9,82,12,100,87000,10440,6.6,792,115
73.8,7.2,dur,8,90,39,325,87000,10440,5.7,684,2
81.0,4.5,dur,5,95,6,50,87000,10440,3.0,360,159
85.5,4.5,dur,5,100,123,1025,87000,10440,3.0,360,113
90.0,9.9,dur,11,111,27,225,87000,10440,8.4,1008,58
99.9,4.5,dur,5,116,57,475,87000,10440,3.0,360,102
104.4,4.5,dur,5,121,18,150,87000,10440,3.0,360,127
108.9,4.5,dur,5,126,27,225,87000,10440,3.0,360,132
113.4,7.2,dur,8,134,84,700,87000,10440,5.7,684,22
120.6,4.5,dur,5,139,12,100,87000,10440,3.0,360,27
125.1,4.5,dur,5,144,6,50,87000,10440,3.0,360,48
129.6,4.5,dur,5,149,9,75,87000,10440,3.0,360,62
134.1,6.3,dur,7,156,84,700,87000,10440,4.8,576,59
140.4,7.2,dur,8,164,123,1025,87000,10440,5.7,684,114
147.6,4.5,dur,5,169,84,700,87000,10440,3.0,360,96
152.1,4.5,dur,5,174,39,325,87000,10440,3.0,360,155
156.6,11.7,dur,13,187,9,75,87000,10440,10.2,1224,117
168.3,6.3,dur,7,194,180,1500,87000,10440,4.8,576,149
174.6,4.5,dur,5,199,6,50,87000,10440,3.0,360,45
179.1,6.3,dur,7,206,57,475,87000,10440,4.8,576,136
185.4,4.5,dur,5,211,57,475,87000,10440,3.0,360,3
189.9,5.4,dur,6,217,9,75,87000,10440,3.9000000000000004,468,133
195.3,4.5,dur,5,222,0,0,87000,10440,3.0,360,98
199.8,5.4,dur,6,228,9,75,87000,10440,3.9000000000000004,468,18
205.2,8.1,dur,9,237,39,325,87000,10440,6.6,792,37
213.3,5.4,dur,6,243,0,0,87000,10440,3.9000000000000004,468,74
218.7,5.4,dur,6,249,57,475,87000,10440,3.9000000000000004,468,81
224.1,7.2,dur,8,257,0,0,87000,10440,5.7,684,94
231.3,4.5,dur,5,262,123,1025,87000,10440,3.0,360,71
235.8,4.5,dur,5,267,180,1500,87000,10440,3.0,360,38
240.3,6.3,dur,7,274,180,1500,87000,10440,4.8,576,50
246.6,6.3,dur,7,281,84,700,87000,10440,4.8,576,77
252.9,4.5,dur,5,286,27,225,87000,10440,3.0,360,12
257.4,8.1,dur,9,295,27,225,87000,10440,6.6,792,119
265.5,6.3,dur,7,302,0,0,87000,10440,4.8,576,13
271.8,4.5,dur,5,307,123,1025,87000,10440,3.0,360,150
276.3,4.5,dur,5,312,6,50,87000,10440,3.0,360,4
280.8,5.4,dur,6,318,0,0,87000,10440,3.9000000000000004,468,14
286.2,6.3,dur,7,325,123,1025,87000,10440,4.8,576,100
292.5,4.5,dur,5,330,18,150,87000,10440,3.0,360,135
297.0,4.5,dur,5,335,0,0,87000,10440,3.0,360,70
301.5,4.5,dur,5,340,6,50,87000,10440,3.0,360,29
306.0,4.5,dur,5,345,180,1500,87000,10440,3.0,360,40
310.5,7.2,dur,8,353,9,75,87000,10440,5.7,684,109
317.7,6.3,dur,7,360,12,100,87000,10440,4.8,576,138
