time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,39,325,1500,180,3.0,360,80
4.5,5.4,dur,6,11,57,475,1500,180,3.9000000000000004,468,12
9.9,4.5,dur,5,16,6,50,1500,180,3.0,360,111
14.4,5.4,dur,6,22,9,75,1500,180,3.9000000000000004,468,44
19.8,5.4,dur,6,28,84,700,1500,180,3.9000000000000004,468,63
25.2,4.5,dur,5,33,123,1025,1500,180,3.0,360,3
29.7,4.5,dur,5,38,84,700,1500,180,3.0,360,10
34.2,5.4,dur,6,44,0,0,1500,180,3.9000000000000004,468,155
39.6,6.3,dur,7,51,0,0,1500,180,4.8,576,7
45.9,4.5,dur,5,56,6,50,1500,180,3.0,360,84
50.4,4.5,dur,5,61,39,325,1500,180,3.0,360,51
54.9,4.5,dur,5,66,9,75,1500,180,3.0,360,146
59.4,4.5,dur,5,71,180,1500,1500,180,3.0,360,68
63.9,5.4,dur,6,77,84,700,1500,180,3.9000000000000004,468,140
69.3,5.4,dur,6,83,12,100,1500,180,3.9000000000000004,468,74
74.7,7.2,dur,8,91,12,100,1500,180,5.7,684,39
81.9,9.9,dur,11,102,27,225,1500,180,8.4,1008,8
91.8,4.5,dur,5,107,180,1500,1500,180,3.0,360,1
96.3,4.5,dur,5,112,12,100,1500,180,3.0,360,24
100.8,4.5,dur,5,117,18,150,1500,180,3.0,360,99
105.3,4.5,dur,5,122,0,0,1500,180,3.0,360,123
109.8,4.5,dur,5,127,57,475,1500,180,3.0,360,136
114.3,4.5,dur,5,132,57,475,1500,180,3.0,360,60
118.8,4.5,dur,5,137,180,1500,1500,180,3.0,360,58
123.3,5.4,dur,6,143,0,0,1500,180,3.9000000000000004,468,143
128.7,4.5,dur,5,148,27,225,1500,180,3.0,360,85
133.2,7.2,dur,8,156,9,75,1500,180,5.7,684,126
140.4,5.4,dur,6,162,6,50,1500,180,3.9000000000000004,468,77
145.8,5.4,dur,6,168,6,50,1500,180,3.9000000000000004,468,156
151.2,4.5,dur,5,173,84,700,1500,180,3.0,360,49
155.7,9.0,dur,10,183,39,325,1500,180,7.5,900,29
164.7,4.5,dur,5,188,0,0,1500,180,3.0,360,47
169.2,4.5,dur,5,193,12,100,1500,180,3.0,360,37
173.7,5.4,dur,6,199,0,0,1500,180,3.9000000000000004,468,2
179.1,10.8,dur,12,211,123,1025,1500,180,9.3,1116,139
189.9,4.5,dur,5,216,18,150,1500,180,3.0,360,41
194.4,7.2,dur,8,224,18,150,1500,180,5.7,684,119
201.6,4.5,dur,5,229,57,475,1500,180,3.0,360,120
206.1,4.5,dur,5,234,0,0,1500,180,3.0,360,91
210.6,6.3,dur,7,241,27,225,1500,180,4.8,576,21
216.9,7.2,dur,8,249,0,0,1500,180,5.7,684,133
224.1,4.5,dur,5,254,9,75,1500,180,3.0,360,75
228.6,5.4,dur,6,260,27,225,1500,180,3.9000000000000004,468,42
234.0,4.5,dur,5,265,18,150,1500,180,3.0,360,122
238.5,6.3,dur,7,272,180,1500,1500,180,4.8,576,115
244.8,6.3,dur,7,279,39,325,1500,180,4.8,576,17
251.1,4.5,dur,5,284,84,700,1500,180,3.0,360,92
255.6,4.5,dur,5,289,27,225,1500,180,3.0,360,20
260.1,9.0,dur,10,299,57,475,1500,180,7.5,900,34
269.1,4.5,dur,5,304,12,100,1500,180,3.0,360,137
273.6,11.7,dur,13,317,123,1025,1500,180,10.2,1224,79
285.3,4.5,dur,5,322,123,1025,1500,180,3.0,360,71
289.8,5.4,dur,6,328,9,75,1500,180,3.9000000000000004,468,154
295.2,4.5,dur,5,333,123,1025,1500,180,3.0,360,22
299.7,7.2,dur,8,341,180,1500,1500,180,5.7,684,121
306.9,6.3,dur,7,348,18,150,1500,180,4.8,576,141
313.2,4.5,dur,5,353,39,325,1500,180,3.0,360,56
317.7,6.3,dur,7,360,6,50,1500,180,4.8,576,55
