time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,180,1500,1500,180,3.0,360,2
4.5,5.4,dur,6,11,9,75,1500,180,3.9000000000000004,468,154
9.9,4.5,dur,5,16,0,0,1500,180,3.0,360,64
14.4,4.5,dur,5,21,9,75,1500,180,3.0,360,76
18.9,4.5,dur,5,26,123,1025,1500,180,3.0,360,99
23.4,5.4,dur,6,32,12,100,1500,180,3.9000000000000004,468,145
28.8,6.3,dur,7,39,12,100,1500,180,4.8,576,116
35.1,4.5,dur,5,44,6,50,1500,180,3.0,360,18
39.6,10.8,dur,12,56,27,225,1500,180,9.3,1116,11
50.4,4.5,dur,5,61,12,100,1500,180,3.0,360,83
54.9,8.1,dur,9,70,18,150,1500,180,6.6,792,24
63.0,4.5,dur,5,75,27,225,1500,180,3.0,360,65
67.5,5.4,dur,6,81,0,0,1500,180,3.9000000000000004,468,42
72.9,6.3,dur,7,88,18,150,1500,180,4.8,576,118
79.2,4.5,dur,5,93,84,700,1500,180,3.0,360,39
83.7,5.4,dur,6,99,18,150,1500,180,3.9000000000000004,468,49
89.1,4.5,dur,5,104,123,1025,1500,180,3.0,360,44
93.6,6.3,dur,7,111,39,325,1500,180,4.8,576,98
99.9,4.5,dur,5,116,9,75,1500,180,3.0,360,66
104.4,9.0,dur,10,126,6,50,1500,180,7.5,900,97
113.4,7.2,dur,8,134,57,475,1500,180,5.7,684,133
120.6,8.1,dur,9,143,39,325,1500,180,6.6,792,92
128.7,4.5,dur,5,148,27,225,1500,180,3.0,360,130
133.2,4.5,dur,5,153,84,700,1500,180,3.0,360,85
137.7,4.5,dur,5,158,84,700,1500,180,3.0,360,152
142.2,4.5,dur,5,163,123,1025,1500,180,3.0,360,158
146.7,4.5,dur,5,168,180,1500,1500,180,3.0,360,56
151.2,8.1,dur,9,177,0,0,1500,180,6.6,792,126
159.3,6.3,dur,7,184,57,475,1500,180,4.8,576,27
165.6,5.4,dur,6,190,12,100,1500,180,3.9000000000000004,468,8
171.0,4.5,dur,5,195,39,325,1500,180,3.0,360,35
175.5,6.3,dur,7,202,39,325,1500,180,4.8,576,127
181.8,4.5,dur,5,207,0,0,1500,180,3.0,360,16
186.3,6.3,dur,7,214,84,700,1500,180,4.8,576,110
192.6,5.4,dur,6,220,0,0,1500,180,3.9000000000000004,468,148
198.0,5.4,dur,6,226,180,1500,1500,180,3.9000000000000004,468,5
203.4,4.5,dur,5,231,57,475,1500,180,3.0,360,109
207.9,5.4,dur,6,237,57,475,1500,180,3.9000000000000004,468,103
213.3,4.5,dur,5,242,84,700,1500,180,3.0,360,55
217.8,6.3,dur,7,249,27,225,1500,180,4.8,576,31
224.1,9.9,dur,11,260,180,1500,1500,180,8.4,1008,58
234.0,4.5,dur,5,265,123,1025,1500,180,3.0,360,1
238.5,4.5,dur,5,270,27,225,1500,180,3.0,360,159
243.0,4.5,dur,5,275,57,475,1500,180,3.0,360,91
247.5,7.2,dur,8,283,9,75,1500,180,5.7,684,34
254.7,6.3,dur,7,290,180,1500,1500,180,4.8,576,61
261.0,6.3,dur,7,297,6,50,1500,180,4.8,576,46
267.3,4.5,dur,5,302,18,150,1500,180,3.0,360,120
271.8,5.4,dur,6,308,6,50,1500,180,3.9000000000000004,468,82
277.2,9.0,dur,10,318,0,0,1500,180,7.5,900,155
286.2,4.5,dur,5,323,39,325,1500,180,3.0,360,138
290.7,4.5,dur,5,328,0,0,1500,180,3.0,360,94
295.2,4.5,dur,5,333,0,0,1500,180,3.0,360,100
299.7,4.5,dur,5,338,6,50,1500,180,3.0,360,123
304.2,5.4,dur,6,344,9,75,1500,180,3.9000000000000004,468,77
309.6,5.4,dur,6,350,12,100,1500,180,3.9000000000000004,468,136
315.0,4.5,dur,5,355,123,1025,1500,180,3.0,360,129
319.5,4.5,dur,5,360,18,150,1500,180,3.0,360,151
