time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,6,50,1500,180,3.0,360,9
4.5,4.5,dur,5,10,57,475,1500,180,3.0,360,64
9.0,4.5,dur,5,15,39,325,1500,180,3.0,360,99
13.5,5.4,dur,6,21,6,50,1500,180,3.9000000000000004,468,6
18.9,6.3,dur,7,28,0,0,1500,180,4.8,576,93
25.2,5.4,dur,6,34,12,100,1500,180,3.9000000000000004,468,44
30.6,4.5,dur,5,39,18,150,1500,180,3.0,360,100
35.1,4.5,dur,5,44,84,700,1500,180,3.0,360,135
39.6,9.9,dur,11,55,39,325,1500,180,8.4,1008,29
49.5,6.3,dur,7,62,27,225,1500,180,4.8,576,46
55.8,7.2,dur,8,70,18,150,1500,180,5.7,684,36
63.0,4.5,dur,5,75,12,100,1500,180,3.0,360,126
67.5,6.3,dur,7,82,9,75,1500,180,4.8,576,62
73.8,4.5,dur,5,87,9,75,1500,180,3.0,360,13
78.3,5.4,dur,6,93,18,150,1500,180,3.9000000000000004,468,57
83.7,4.5,dur,5,98,0,0,1500,180,3.0,360,129
88.2,5.4,dur,6,104,27,225,1500,180,3.9000000000000004,468,96
93.6,4.5,dur,5,109,57,475,1500,180,3.0,360,7
98.1,4.5,dur,5,114,123,1025,1500,180,3.0,360,43
102.6,5.4,dur,6,120,39,325,1500,180,3.9000000000000004,468,27
108.0,4.5,dur,5,125,0,0,1500,180,3.0,360,159
112.5,4.5,dur,5,130,18,150,1500,180,3.0,360,11
117.0,5.4,dur,6,136,180,1500,1500,180,3.9000000000000004,468,85
122.4,4.5,dur,5,141,84,700,1500,180,3.0,360,116
126.9,6.3,dur,7,148,0,0,1500,180,4.8,576,133
133.2,4.5,dur,5,153,39,325,1500,180,3.0,360,45
137.7,4.5,dur,5,158,123,1025,1500,180,3.0,360,17
142.2,5.4,dur,6,164,0,0,1500,180,3.9000000000000004,468,40
147.6,8.1,dur,9,173,9,75,1500,180,6.6,792,154
155.7,6.3,dur,7,180,180,1500,1500,180,4.8,576,25
162.0,5.4,dur,6,186,27,225,1500,180,3.9000000000000004,468,110
167.4,5.4,dur,6,192,84,700,1500,180,3.9000000000000004,468,103
172.8,8.1,dur,9,201,6,50,1500,180,6.6,792,20
180.9,4.5,dur,5,206,18,150,1500,180,3.0,360,4
185.4,11.7,dur,13,219,123,1025,1500,180,10.2,1224,23
197.1,5.4,dur,6,225,84,700,1500,180,3.9000000000000004,468,127
202.5,7.2,dur,8,233,84,700,1500,180,5.7,684,51
209.7,4.5,dur,5,238,57,475,1500,180,3.0,360,12
214.2,7.2,dur,8,246,27,225,1500,180,5.7,684,82
221.4,4.5,dur,5,251,9,75,1500,180,3.0,360,37
225.9,6.3,dur,7,258,0,0,1500,180,4.8,576,123
232.2,4.5,dur,5,263,180,1500,1500,180,3.0,360,72
236.7,4.5,dur,5,268,6,50,1500,180,3.0,360,142
241.2,4.5,dur,5,273,39,325,1500,180,3.0,360,52
245.7,5.4,dur,6,279,12,100,1500,180,3.9000000000000004,468,47
251.1,4.5,dur,5,284,57,475,1500,180,3.0,360,158
255.6,4.5,dur,5,289,9,75,1500,180,3.0,360,38
260.1,4.5,dur,5,294,123,1025,1500,180,3.0,360,149
264.6,4.5,dur,5,299,27,225,1500,180,3.0,360,136
269.1,9.0,dur,10,309,123,1025,1500,180,7.5,900,74
278.1,7.2,dur,8,317,57,475,1500,180,5.7,684,50
285.3,5.4,dur,6,323,180,1500,1500,180,3.9000000000000004,468,76
290.7,4.5,dur,5,328,12,100,1500,180,3.0,360,53
295.2,4.5,dur,5,333,6,50,1500,180,3.0,360,118
299.7,7.2,dur,8,341,12,100,1500,180,5.7,684,8
306.9,4.5,dur,5,346,0,0,1500,180,3.0,360,146
311.4,8.1,dur,9,355,180,1500,1500,180,6.6,792,152
319.5,4.5,dur,5,360,0,0,1500,180,3.0,360,97
