time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,0,0,2000,240,2.5,300,77
4.5,5.4,dur,6,11,27,225,2000,240,3.4000000000000004,408,135
9.9,4.5,dur,5,16,39,325,2000,240,2.5,300,10
14.4,4.5,dur,5,21,18,150,2000,240,2.5,300,73
18.9,4.5,dur,5,26,180,1500,2000,240,2.5,300,121
23.4,4.5,dur,5,31,39,325,2000,240,2.5,300,129
27.9,4.5,dur,5,36,57,475,2000,240,2.5,300,82
32.4,7.2,dur,8,44,39,325,2000,240,5.2,624,40
39.6,4.5,dur,5,49,84,700,2000,240,2.5,300,115
44.1,9.9,dur,11,60,6,50,2000,240,7.9,948,50
54.0,5.4,dur,6,66,6,50,2000,240,3.4000000000000004,408,137
59.4,4.5,dur,5,71,12,100,2000,240,2.5,300,155
63.9,5.4,dur,6,77,12,100,2000,240,3.4000000000000004,408,8
69.3,4.5,dur,5,82,0,0,2000,240,2.5,300,4
73.8,4.5,dur,5,87,6,50,2000,240,2.5,300,54
78.3,5.4,dur,6,93,27,225,2000,240,3.4000000000000004,408,48
83.7,4.5,dur,5,98,84,700,2000,240,2.5,300,123
88.2,8.1,dur,9,107,39,325,2000,240,6.1,732,118
96.3,4.5,dur,5,112,12,100,2000,240,2.5,300,146
100.8,5.4,dur,6,118,27,225,2000,240,3.4000000000000004,408,71
106.2,9.0,dur,10,128,57,475,2000,240,7.0,840,132
115.2,4.5,dur,5,133,18,150,2000,240,2.5,300,47
119.7,8.1,dur,9,142,27,225,2000,240,6.1,732,140
127.8,4.5,dur,5,147,9,75,2000,240,2.5,300,27
132.3,4.5,dur,5,152,9,75,2000,240,2.5,300,19
136.8,6.3,dur,7,159,18,150,2000,240,4.3,516,133
143.1,4.5,dur,5,164,6,50,2000,240,2.5,300,104
147.6,4.5,dur,5,169,57,475,2000,240,2.5,300,95
152.1,4.5,dur,5,174,0,0,2000,240,2.5,300,85
156.6,5.4,dur,6,180,0,0,2000,240,3.4000000000000004,408,103
162.0,7.2,dur,8,188,123,1025,2000,240,5.2,624,3
169.2,9.0,dur,10,198,12,100,2000,240,7.0,840,51
178.2,4.5,dur,5,203,123,1025,2000,240,2.5,300,61
182.7,6.3,dur,7,210,9,75,2000,240,4.3,516,28
189.0,5.4,dur,6,216,39,325,2000,240,3.4000000000000004,408,66
194.4,6.3,dur,7,223,0,0,2000,240,4.3,516,138
200.7,4.5,dur,5,228,180,1500,2000,240,2.5,300,152
205.2,8.1,dur,9,237,180,1500,2000,240,6.1,732,2
213.3,5.4,dur,6,243,0,0,2000,240,3.4000000000000004,408,72
218.7,4.5,dur,5,248,18,150,2000,240,2.5,300,128
223.2,6.3,dur,7,255,57,475,2000,240,4.3,516,6
229.5,6.3,dur,7,262,0,0,2000,240,4.3,516,105
235.8,4.5,dur,5,267,0,0,2000,240,2.5,300,52
240.3,6.3,dur,7,274,18,150,2000,240,4.3,516,32
246.6,6.3,dur,7,281,123,1025,2000,240,4.3,516,70
252.9,4.5,dur,5,286,27,225,2000,240,2.5,300,156
257.4,9.0,dur,10,296,123,1025,2000,240,7.0,840,56
266.4,6.3,dur,7,303,6,50,2000,240,4.3,516,29
272.7,4.5,dur,5,308,180,1500,2000,240,2.5,300,0
277.2,4.5,dur,5,313,123,1025,2000,240,2.5,300,30
281.7,9.0,dur,10,323,84,700,2000,240,7.0,840,158
290.7,4.5,dur,5,328,57,475,2000,240,2.5,300,44
295.2,4.5,dur,5,333,84,700,2000,240,2.5,300,55
299.7,4.5,dur,5,338,9,75,2000,240,2.5,300,98
304.2,5.4,dur,6,344,180,1500,2000,240,3.4000000000000004,408,34
309.6,4.5,dur,5,349,9,75,2000,240,2.5,300,76
314.1,4.5,dur,5,354,12,100,2000,240,2.5,300,1
318.6,5.4,dur,6,360,84,700,2000,240,3.4000000000000004,408,74
