time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,1500,180,3.0,360,68
4.5,4.5,dur,5,10,9,75,1500,180,3.0,360,135
9.0,4.5,dur,5,15,6,50,1500,180,3.0,360,118
13.5,4.5,dur,5,20,39,325,1500,180,3.0,360,147
18.0,6.3,dur,7,27,18,150,1500,180,4.8,576,89
24.3,4.5,dur,5,32,18,150,1500,180,3.0,360,40
28.8,4.5,dur,5,37,180,1500,1500,180,3.0,360,116
33.3,6.3,dur,7,44,57,475,1500,180,4.8,576,136
39.6,4.5,dur,5,49,0,0,1500,180,3.0,360,88
44.1,4.5,dur,5,54,0,0,1500,180,3.0,360,120
48.6,4.5,dur,5,59,84,700,1500,180,3.0,360,111
53.1,7.2,dur,8,67,6,50,1500,180,5.7,684,49
60.3,6.3,dur,7,74,6,50,1500,180,4.8,576,108
66.6,5.4,dur,6,80,84,700,1500,180,3.9000000000000004,468,139
72.0,7.2,dur,8,88,27,225,1500,180,5.7,684,119
79.2,6.3,dur,7,95,123,1025,1500,180,4.8,576,58
85.5,4.5,dur,5,100,12,100,1500,180,3.0,360,11
90.0,4.5,dur,5,105,12,100,1500,180,3.0,360,64
94.5,5.4,dur,6,111,27,225,1500,180,3.9000000000000004,468,144
99.9,4.5,dur,5,116,0,0,1500,180,3.0,360,75
104.4,7.2,dur,8,124,9,75,1500,180,5.7,684,62
111.6,8.1,dur,9,133,12,100,1500,180,6.6,792,96
119.7,4.5,dur,5,138,0,0,1500,180,3.0,360,16
124.2,4.5,dur,5,143,123,1025,1500,180,3.0,360,98
128.7,6.3,dur,7,150,6,50,1500,180,4.8,576,143
135.0,5.4,dur,6,156,27,225,1500,180,3.9000000000000004,468,67
140.4,6.3,dur,7,163,18,150,1500,180,4.8,576,154
146.7,4.5,dur,5,168,39,325,1500,180,3.0,360,134
151.2,4.5,dur,5,173,39,325,1500,180,3.0,360,15
155.7,5.4,dur,6,179,27,225,1500,180,3.9000000000000004,468,34
161.1,4.5,dur,5,184,9,75,1500,180,3.0,360,5
165.6,8.1,dur,9,193,57,475,1500,180,6.6,792,52
173.7,6.3,dur,7,200,18,150,1500,180,4.8,576,73
180.0,5.4,dur,6,206,6,50,1500,180,3.9000000000000004,468,133
185.4,8.1,dur,9,215,0,0,1500,180,6.6,792,35
193.5,9.9,dur,11,226,0,0,1500,180,8.4,1008,74
203.4,4.5,dur,5,231,27,225,1500,180,3.0,360,31
207.9,9.0,dur,10,241,180,1500,1500,180,7.5,900,14
216.9,4.5,dur,5,246,84,700,1500,180,3.0,360,19
221.4,5.4,dur,6,252,84,700,1500,180,3.9000000000000004,468,100
226.8,4.5,dur,5,257,18,150,1500,180,3.0,360,80
231.3,4.5,dur,5,262,0,0,1500,180,3.0,360,85
235.8,9.0,dur,10,272,12,100,1500,180,7.5,900,156
244.8,4.5,dur,5,277,180,1500,1500,180,3.0,360,145
249.3,4.5,dur,5,282,123,1025,1500,180,3.0,360,106
253.8,4.5,dur,5,287,57,475,1500,180,3.0,360,126
258.3,7.2,dur,8,295,123,1025,1500,180,5.7,684,92
265.5,5.4,dur,6,301,123,1025,1500,180,3.9000000000000004,468,66
270.9,5.4,dur,6,307,180,1500,1500,180,3.9000000000000004,468,159
276.3,5.4,dur,6,313,39,325,1500,180,3.9000000000000004,468,158
281.7,4.5,dur,5,318,57,475,1500,180,3.0,360,107
286.2,6.3,dur,7,325,84,700,1500,180,4.8,576,141
292.5,4.5,dur,5,330,9,75,1500,180,3.0,360,57
297.0,7.2,dur,8,338,9,75,1500,180,5.7,684,47
304.2,5.4,dur,6,344,180,1500,1500,180,3.9000000000000004,468,137
309.6,4.5,dur,5,349,12,100,1500,180,3.0,360,36
314.1,5.4,dur,6,355,39,325,1500,180,3.9000000000000004,468,117
319.5,4.5,dur,5,360,0,0,1500,180,3.0,360,81
