time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,2000,240,2.5,300,74
4.5,7.2,dur,8,13,180,1500,2000,240,5.2,624,122
11.7,5.4,dur,6,19,57,475,2000,240,3.4000000000000004,408,104
17.1,4.5,dur,5,24,0,0,2000,240,2.5,300,80
21.6,5.4,dur,6,30,39,325,2000,240,3.4000000000000004,408,19
27.0,4.5,dur,5,35,180,1500,2000,240,2.5,300,5
31.5,6.3,dur,7,42,12,100,2000,240,4.3,516,118
37.8,4.5,dur,5,47,84,700,2000,240,2.5,300,144
42.3,4.5,dur,5,52,6,50,2000,240,2.5,300,152
46.8,5.4,dur,6,58,123,1025,2000,240,3.4000000000000004,408,58
52.2,10.8,dur,12,70,27,225,2000,240,8.8,1056,62
63.0,6.3,dur,7,77,84,700,2000,240,4.3,516,39
69.3,4.5,dur,5,82,39,325,2000,240,2.5,300,48
73.8,6.3,dur,7,89,12,100,2000,240,4.3,516,158
80.1,4.5,dur,5,94,6,50,2000,240,2.5,300,75
84.6,4.5,dur,5,99,0,0,2000,240,2.5,300,56
89.1,4.5,dur,5,104,0,0,2000,240,2.5,300,50
93.6,4.5,dur,5,109,57,475,2000,240,2.5,300,46
98.1,4.5,dur,5,114,12,100,2000,240,2.5,300,135
102.6,10.8,dur,12,126,57,475,2000,240,8.8,1056,63
113.4,4.5,dur,5,131,27,225,2000,240,2.5,300,123
117.9,8.1,dur,9,140,57,475,2000,240,6.1,732,93
126.0,5.4,dur,6,146,27,225,2000,240,3.4000000000000004,408,59
131.4,4.5,dur,5,151,12,100,2000,240,2.5,300,121
135.9,4.5,dur,5,156,123,1025,2000,240,2.5,300,112
140.4,8.1,dur,9,165,39,325,2000,240,6.1,732,33
148.5,4.5,dur,5,170,6,50,2000,240,2.5,300,36
153.0,5.4,dur,6,176,180,1500,2000,240,3.4000000000000004,408,134
158.4,4.5,dur,5,181,39,325,2000,240,2.5,300,119
162.9,4.5,dur,5,186,39,325,2000,240,2.5,300,31
167.4,8.1,dur,9,195,18,150,2000,240,6.1,732,139
175.5,5.4,dur,6,201,123,1025,2000,240,3.4000000000000004,408,84
180.9,4.5,dur,5,206,18,150,2000,240,2.5,300,116
185.4,4.5,dur,5,211,9,75,2000,240,2.5,300,38
189.9,5.4,dur,6,217,84,700,2000,240,3.4000000000000004,408,79
195.3,9.0,dur,10,227,123,1025,2000,240,7.0,840,28
204.3,7.2,dur,8,235,9,75,2000,240,5.2,624,147
211.5,5.4,dur,6,241,180,1500,2000,240,3.4000000000000004,408,72
216.9,5.4,dur,6,247,123,1025,2000,240,3.4000000000000004,408,124
222.3,4.5,dur,5,252,9,75,2000,240,2.5,300,12
226.8,6.3,dur,7,259,12,100,2000,240,4.3,516,127
233.1,5.4,dur,6,265,0,0,2000,240,3.4000000000000004,408,99
238.5,4.5,dur,5,270,18,150,2000,240,2.5,300,129
243.0,8.1,dur,9,279,84,700,2000,240,6.1,732,17
251.1,5.4,dur,6,285,9,75,2000,240,3.4000000000000004,408,11
256.5,4.5,dur,5,290,0,0,2000,240,2.5,300,132
261.0,4.5,dur,5,295,6,50,2000,240,2.5,300,67
265.5,4.5,dur,5,300,84,700,2000,240,2.5,300,43
270.0,4.5,dur,5,305,18,150,2000,240,2.5,300,77
274.5,4.5,dur,5,310,6,50,2000,240,2.5,300,26
279.0,4.5,dur,5,315,27,225,2000,240,2.5,300,7
283.5,4.5,dur,5,320,0,0,2000,240,2.5,300,15
288.0,4.5,dur,5,325,180,1500,2000,240,2.5,300,126
292.5,4.5,dur,5,330,0,0,2000,240,2.5,300,117
297.0,4.5,dur,5,335,9,75,2000,240,2.5,300,35
301.5,4.5,dur,5,340,18,150,2000,240,2.5,300,29
306.0,6.3,dur,7,347,0,0,2000,240,4.3,516,37
312.3,11.7,dur,13,360,27,225,2000,240,9.7,1164,114
