time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,6,50,1500,180,3.0,360,8
4.5,4.5,dur,5,10,84,700,1500,180,3.0,360,88
9.0,4.5,dur,5,15,0,0,1500,180,3.0,360,149
13.5,4.5,dur,5,20,57,475,1500,180,3.0,360,130
18.0,4.5,dur,5,25,84,700,1500,180,3.0,360,133
22.5,4.5,dur,5,30,27,225,1500,180,3.0,360,128
27.0,5.4,dur,6,36,0,0,1500,180,3.9000000000000004,468,28
32.4,5.4,dur,6,42,9,75,1500,180,3.9000000000000004,468,103
37.8,4.5,dur,5,47,27,225,1500,180,3.0,360,154
42.3,4.5,dur,5,52,6,50,1500,180,3.0,360,4
46.8,6.3,dur,7,59,180,1500,1500,180,4.8,576,64
53.1,6.3,dur,7,66,123,1025,1500,180,4.8,576,145
59.4,11.7,dur,13,79,18,150,1500,180,10.2,1224,127
71.1,4.5,dur,5,84,123,1025,1500,180,3.0,360,111
75.6,6.3,dur,7,91,0,0,1500,180,4.8,576,77
81.9,5.4,dur,6,97,0,0,1500,180,3.9000000000000004,468,46
87.3,4.5,dur,5,102,6,50,1500,180,3.0,360,74
91.8,8.1,dur,9,111,9,75,1500,180,6.6,792,44
99.9,8.1,dur,9,120,18,150,1500,180,6.6,792,48
108.0,4.5,dur,5,125,0,0,1500,180,3.0,360,54
112.5,7.2,dur,8,133,18,150,1500,180,5.7,684,102
119.7,4.5,dur,5,138,39,325,1500,180,3.0,360,84
124.2,6.3,dur,7,145,18,150,1500,180,4.8,576,13
130.5,4.5,dur,5,150,57,475,1500,180,3.0,360,108
135.0,4.5,dur,5,155,12,100,1500,180,3.0,360,38
139.5,9.9,dur,11,166,123,1025,1500,180,8.4,1008,120
149.4,4.5,dur,5,171,9,75,1500,180,3.0,360,23
153.9,4.5,dur,5,176,57,475,1500,180,3.0,360,82
158.4,5.4,dur,6,182,57,475,1500,180,3.9000000000000004,468,142
163.8,9.0,dur,10,192,0,0,1500,180,7.5,900,157
172.8,4.5,dur,5,197,39,325,1500,180,3.0,360,72
177.3,5.4,dur,6,203,0,0,1500,180,3.9000000000000004,468,104
182.7,4.5,dur,5,208,84,700,1500,180,3.0,360,11
187.2,4.5,dur,5,213,39,325,1500,180,3.0,360,126
191.7,7.2,dur,8,221,123,1025,1500,180,5.7,684,20
198.9,4.5,dur,5,226,18,150,1500,180,3.0,360,42
203.4,4.5,dur,5,231,12,100,1500,180,3.0,360,131
207.9,6.3,dur,7,238,6,50,1500,180,4.8,576,62
214.2,6.3,dur,7,245,12,100,1500,180,4.8,576,151
220.5,4.5,dur,5,250,12,100,1500,180,3.0,360,29
225.0,5.4,dur,6,256,27,225,1500,180,3.9000000000000004,468,141
230.4,4.5,dur,5,261,180,1500,1500,180,3.0,360,153
234.9,4.5,dur,5,266,57,475,1500,180,3.0,360,132
239.4,8.1,dur,9,275,27,225,1500,180,6.6,792,101
247.5,4.5,dur,5,280,27,225,1500,180,3.0,360,45
252.0,7.2,dur,8,288,39,325,1500,180,5.7,684,144
259.2,5.4,dur,6,294,84,700,1500,180,3.9000000000000004,468,125
264.6,4.5,dur,5,299,123,1025,1500,180,3.0,360,70
269.1,4.5,dur,5,304,180,1500,1500,180,3.0,360,52
273.6,6.3,dur,7,311,6,50,1500,180,4.8,576,5
279.9,4.5,dur,5,316,39,325,1500,180,3.0,360,85
284.4,4.5,dur,5,321,180,1500,1500,180,3.0,360,9
288.9,5.4,dur,6,327,12,100,1500,180,3.9000000000000004,468,19
294.3,6.3,dur,7,334,9,75,1500,180,4.8,576,40
300.6,6.3,dur,7,341,84,700,1500,180,4.8,576,60
306.9,4.5,dur,5,346,9,75,1500,180,3.0,360,143
311.4,5.4,dur,6,352,180,1500,1500,180,3.9000000000000004,468,33
316.8,7.2,dur,8,360,0,0,1500,180,5.7,684,117
