time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,0,0,87000,10440,3.0,360,43
4.5,4.5,dur,5,10,123,1025,87000,10440,3.0,360,88
9.0,4.5,dur,5,15,12,100,87000,10440,3.0,360,44
13.5,6.3,dur,7,22,9,75,87000,10440,4.8,576,135
19.8,4.5,dur,5,27,123,1025,87000,10440,3.0,360,76
24.3,5.4,dur,6,33,27,225,87000,10440,3.9000000000000004,468,27
29.7,4.5,dur,5,38,27,225,87000,10440,3.0,360,59
34.2,5.4,dur,6,44,6,50,87000,10440,3.9000000000000004,468,49
39.6,4.5,dur,5,49,12,100,87000,10440,3.0,360,32
44.1,5.4,dur,6,55,180,1500,87000,10440,3.9000000000000004,468,38
49.5,9.0,dur,10,65,39,325,87000,10440,7.5,900,156
58.5,4.5,dur,5,70,123,1025,87000,10440,3.0,360,116
63.0,5.4,dur,6,76,57,475,87000,10440,3.9000000000000004,468,42
68.4,4.5,dur,5,81,6,50,87000,10440,3.0,360,146
72.9,4.5,dur,5,86,39,325,87000,10440,3.0,360,17
77.4,4.5,dur,5,91,6,50,87000,10440,3.0,360,71
81.9,4.5,dur,5,96,18,150,87000,10440,3.0,360,103
86.4,5.4,dur,6,102,18,150,87000,10440,3.9000000000000004,468,22
91.8,4.5,dur,5,107,57,475,87000,10440,3.0,360,28
96.3,9.0,dur,10,117,9,75,87000,10440,7.5,900,73
105.3,4.5,dur,5,122,57,475,87000,10440,3.0,360,123
109.8,5.4,dur,6,128,84,700,87000,10440,3.9000000000000004,468,67
115.2,4.5,dur,5,133,12,100,87000,10440,3.0,360,149
119.7,4.5,dur,5,138,27,225,87000,10440,3.0,360,136
124.2,5.4,dur,6,144,12,100,87000,10440,3.9000000000000004,468,117
129.6,4.5,dur,5,149,39,325,87000,10440,3.0,360,82
134.1,4.5,dur,5,154,18,150,87000,10440,3.0,360,10
138.6,4.5,dur,5,159,39,325,87000,10440,3.0,360,30
143.1,4.5,dur,5,164,27,225,87000,10440,3.0,360,105
147.6,10.8,dur,12,176,84,700,87000,10440,9.3,1116,112
158.4,4.5,dur,5,181,57,475,87000,10440,3.0,360,11
162.9,4.5,dur,5,186,0,0,87000,10440,3.0,360,124
167.4,4.5,dur,5,191,9,75,87000,10440,3.0,360,3
171.9,4.5,dur,5,196,18,150,87000,10440,3.0,360,86
176.4,5.4,dur,6,202,180,1500,87000,10440,3.9000000000000004,468,152
181.8,5.4,dur,6,208,0,0,87000,10440,3.9000000000000004,468,107
187.2,4.5,dur,5,213,0,0,87000,10440,3.0,360,65
191.7,4.5,dur,5,218,18,150,87000,10440,3.0,360,52
196.2,11.7,dur,13,231,0,0,87000,10440,10.2,1224,94
207.9,4.5,dur,5,236,180,1500,87000,10440,3.0,360,157
212.4,8.1,dur,9,245,27,225,87000,10440,6.6,792,74
220.5,4.5,dur,5,250,180,1500,87000,10440,3.0,360,101
225.0,9.9,dur,11,261,84,700,87000,10440,8.4,1008,64
234.9,4.5,dur,5,266,0,0,87000,10440,3.0,360,93
239.4,6.3,dur,7,273,12,100,87000,10440,4.8,576,77
245.7,9.9,dur,11,284,180,1500,87000,10440,8.4,1008,5
255.6,4.5,dur,5,289,6,50,87000,10440,3.0,360,14
260.1,9.0,dur,10,299,123,1025,87000,10440,7.5,900,148
269.1,5.4,dur,6,305,84,700,87000,10440,3.9000000000000004,468,40
274.5,5.4,dur,6,311,39,325,87000,10440,3.9000000000000004,468,62
279.9,7.2,dur,8,319,0,0,87000,10440,5.7,684,87
287.1,5.4,dur,6,325,57,475,87000,10440,3.9000000000000004,468,19
292.5,4.5,dur,5,330,123,1025,87000,10440,3.0,360,85
297.0,4.5,dur,5,335,84,700,87000,10440,3.0,360,81
301.5,4.5,dur,5,340,6,50,87000,10440,3.0,360,15
306.0,5.4,dur,6,346,9,75,87000,10440,3.9000000000000004,468,125
311.4,5.4,dur,6,352,9,75,87000,10440,3.9000000000000004,468,56
316.8,7.2,dur,8,360,0,0,87000,10440,5.7,684,37
