time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,1500,180,3.0,360,70
4.5,6.3,dur,7,12,0,0,1500,180,4.8,576,114
10.8,7.2,dur,8,20,57,475,1500,180,5.7,684,95
18.0,4.5,dur,5,25,18,150,1500,180,3.0,360,30
22.5,4.5,dur,5,30,12,100,1500,180,3.0,360,156
27.0,6.3,dur,7,37,27,225,1500,180,4.8,576,120
33.3,6.3,dur,7,44,6,50,1500,180,4.8,576,67
39.6,5.4,dur,6,50,123,1025,1500,180,3.9000000000000004,468,23
45.0,4.5,dur,5,55,84,700,1500,180,3.0,360,92
49.5,5.4,dur,6,61,84,700,1500,180,3.9000000000000004,468,64
54.9,4.5,dur,5,66,12,100,1500,180,3.0,360,124
59.4,7.2,dur,8,74,180,1500,1500,180,5.7,684,155
66.6,9.0,dur,10,84,180,1500,1500,180,7.5,900,31
75.6,5.4,dur,6,90,9,75,1500,180,3.9000000000000004,468,19
81.0,4.5,dur,5,95,18,150,1500,180,3.0,360,22
85.5,5.4,dur,6,101,39,325,1500,180,3.9000000000000004,468,69
90.9,4.5,dur,5,106,123,1025,1500,180,3.0,360,123
95.4,4.5,dur,5,111,0,0,1500,180,3.0,360,88
99.9,6.3,dur,7,118,84,700,1500,180,4.8,576,142
106.2,6.3,dur,7,125,180,1500,1500,180,4.8,576,91
112.5,4.5,dur,5,130,27,225,1500,180,3.0,360,152
117.0,6.3,dur,7,137,18,150,1500,180,4.8,576,96
123.3,5.4,dur,6,143,9,75,1500,180,3.9000000000000004,468,136
128.7,7.2,dur,8,151,0,0,1500,180,5.7,684,81
135.9,9.9,dur,11,162,39,325,1500,180,8.4,1008,132
145.8,4.5,dur,5,167,12,100,1500,180,3.0,360,32
150.3,4.5,dur,5,172,9,75,1500,180,3.0,360,87
154.8,4.5,dur,5,177,18,150,1500,180,3.0,360,157
159.3,4.5,dur,5,182,0,0,1500,180,3.0,360,159
163.8,4.5,dur,5,187,39,325,1500,180,3.0,360,8
168.3,4.5,dur,5,192,0,0,1500,180,3.0,360,60
172.8,7.2,dur,8,200,57,475,1500,180,5.7,684,105
180.0,9.9,dur,11,211,12,100,1500,180,8.4,1008,133
189.9,4.5,dur,5,216,6,50,1500,180,3.0,360,140
194.4,5.4,dur,6,222,9,75,1500,180,3.9000000000000004,468,39
199.8,4.5,dur,5,227,123,1025,1500,180,3.0,360,1
204.3,4.5,dur,5,232,12,100,1500,180,3.0,360,76
208.8,4.5,dur,5,237,0,0,1500,180,3.0,360,44
213.3,4.5,dur,5,242,6,50,1500,180,3.0,360,117
217.8,9.0,dur,10,252,39,325,1500,180,7.5,900,51
226.8,4.5,dur,5,257,84,700,1500,180,3.0,360,18
231.3,4.5,dur,5,262,6,50,1500,180,3.0,360,4
235.8,6.3,dur,7,269,6,50,1500,180,4.8,576,102
242.1,4.5,dur,5,274,180,1500,1500,180,3.0,360,139
246.6,6.3,dur,7,281,123,1025,1500,180,4.8,576,116
252.9,8.1,dur,9,290,27,225,1500,180,6.6,792,0
261.0,4.5,dur,5,295,57,475,1500,180,3.0,360,6
265.5,6.3,dur,7,302,27,225,1500,180,4.8,576,54
271.8,4.5,dur,5,307,27,225,1500,180,3.0,360,28
276.3,4.5,dur,5,312,39,325,1500,180,3.0,360,89
280.8,4.5,dur,5,317,18,150,1500,180,3.0,360,154
285.3,7.2,dur,8,325,57,475,1500,180,5.7,684,85
292.5,4.5,dur,5,330,123,1025,1500,180,3.0,360,72
297.0,7.2,dur,8,338,9,75,1500,180,5.7,684,59
304.2,4.5,dur,5,343,180,1500,1500,180,3.0,360,112
308.7,4.5,dur,5,348,84,700,1500,180,3.0,360,135
313.2,6.3,dur,7,355,0,0,1500,180,4.8,576,65
319.5,4.5,dur,5,360,0,0,1500,180,3.0,360,130
