time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,39,325,87000,10440,3.0,360,98
4.5,4.5,dur,5,10,18,150,87000,10440,3.0,360,123
9.0,5.4,dur,6,16,0,0,87000,10440,3.9000000000000004,468,55
14.4,4.5,dur,5,21,180,1500,87000,10440,3.0,360,20
18.9,9.0,dur,10,31,0,0,87000,10440,7.5,900,68
27.9,6.3,dur,7,38,123,1025,87000,10440,4.8,576,121
34.2,4.5,dur,5,43,6,50,87000,10440,3.0,360,133
38.7,4.5,dur,5,48,18,150,87000,10440,3.0,360,57
43.2,8.1,dur,9,57,180,1500,87000,10440,6.6,792,97
51.3,4.5,dur,5,62,18,150,87000,10440,3.0,360,58
55.8,4.5,dur,5,67,123,1025,87000,10440,3.0,360,102
60.3,7.2,dur,8,75,9,75,87000,10440,5.7,684,157
67.5,4.5,dur,5,80,9,75,87000,10440,3.0,360,41
72.0,7.2,dur,8,88,180,1500,87000,10440,5.7,684,39
79.2,5.4,dur,6,94,9,75,87000,10440,3.9000000000000004,468,75
84.6,4.5,dur,5,99,12,100,87000,10440,3.0,360,138
89.1,5.4,dur,6,105,39,325,87000,10440,3.9000000000000004,468,140
94.5,4.5,dur,5,110,0,0,87000,10440,3.0,360,156
99.0,4.5,dur,5,115,6,50,87000,10440,3.0,360,16
103.5,5.4,dur,6,121,39,325,87000,10440,3.9000000000000004,468,111
108.9,5.4,dur,6,127,57,475,87000,10440,3.9000000000000004,468,15
114.3,6.3,dur,7,134,27,225,87000,10440,4.8,576,139
120.6,4.5,dur,5,139,84,700,87000,10440,3.0,360,153
125.1,6.3,dur,7,146,180,1500,87000,10440,4.8,576,104
131.4,7.2,dur,8,154,6,50,87000,10440,5.7,684,85
138.6,6.3,dur,7,161,57,475,87000,10440,4.8,576,88
144.9,7.2,dur,8,169,9,75,87000,10440,5.7,684,19
152.1,9.9,dur,11,180,6,50,87000,10440,8.4,1008,67
162.0,4.5,dur,5,185,27,225,87000,10440,3.0,360,122
166.5,4.5,dur,5,190,27,225,87000,10440,3.0,360,124
171.0,9.0,dur,10,200,39,325,87000,10440,7.5,900,151
180.0,4.5,dur,5,205,180,1500,87000,10440,3.0,360,47
184.5,4.5,dur,5,210,57,475,87000,10440,3.0,360,148
189.0,6.3,dur,7,217,18,150,87000,10440,4.8,576,0
195.3,4.5,dur,5,222,0,0,87000,10440,3.0,360,112
199.8,5.4,dur,6,228,0,0,87000,10440,3.9000000000000004,468,107
205.2,4.5,dur,5,233,57,475,87000,10440,3.0,360,115
209.7,4.5,dur,5,238,6,50,87000,10440,3.0,360,22
214.2,7.2,dur,8,246,123,1025,87000,10440,5.7,684,141
221.4,9.9,dur,11,257,123,1025,87000,10440,8.4,1008,59
231.3,4.5,dur,5,262,0,0,87000,10440,3.0,360,8
235.8,7.2,dur,8,270,84,700,87000,10440,5.7,684,14
243.0,4.5,dur,5,275,57,475,87000,10440,3.0,360,51
247.5,4.5,dur,5,280,84,700,87000,10440,3.0,360,78
252.0,4.5,dur,5,285,0,0,87000,10440,3.0,360,125
256.5,4.5,dur,5,290,39,325,87000,10440,3.0,360,159
261.0,4.5,dur,5,295,123,1025,87000,10440,3.0,360,52
265.5,4.5,dur,5,300,18,150,87000,10440,3.0,360,158
270.0,5.4,dur,6,306,9,75,87000,10440,3.9000000000000004,468,1
275.4,5.4,dur,6,312,84,700,87000,10440,3.9000000000000004,468,63
280.8,4.5,dur,5,317,27,225,87000,10440,3.0,360,62
285.3,5.4,dur,6,323,12,100,87000,10440,3.9000000000000004,468,42
290.7,4.5,dur,5,328,0,0,87000,10440,3.0,360,45
295.2,5.4,dur,6,334,12,100,87000,10440,3.9000000000000004,468,100
300.6,4.5,dur,5,339,27,225,87000,10440,3.0,360,132
305.1,8.1,dur,9,348,84,700,87000,10440,6.6,792,109
313.2,4.5,dur,5,353,12,100,87000,10440,3.0,360,30
317.7,6.3,dur,7,360,12,100,87000,10440,4.8,576,84
