time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,84,700,1500,180,3.0,360,16
4.5,5.4,dur,6,11,12,100,1500,180,3.9000000000000004,468,118
9.9,6.3,dur,7,18,180,1500,1500,180,4.8,576,108
16.2,4.5,dur,5,23,12,100,1500,180,3.0,360,9
20.7,5.4,dur,6,29,57,475,1500,180,3.9000000000000004,468,99
26.1,4.5,dur,5,34,9,75,1500,180,3.0,360,47
30.6,4.5,dur,5,39,27,225,1500,180,3.0,360,154
35.1,5.4,dur,6,45,9,75,1500,180,3.9000000000000004,468,85
40.5,9.0,dur,10,55,84,700,1500,180,7.5,900,78
49.5,5.4,dur,6,61,6,50,1500,180,3.9000000000000004,468,125
54.9,6.3,dur,7,68,123,1025,1500,180,4.8,576,28
61.2,9.0,dur,10,78,12,100,1500,180,7.5,900,115
70.2,5.4,dur,6,84,57,475,1500,180,3.9000000000000004,468,158
75.6,4.5,dur,5,89,27,225,1500,180,3.0,360,48
80.1,4.5,dur,5,94,84,700,1500,180,3.0,360,18
84.6,6.3,dur,7,101,0,0,1500,180,4.8,576,62
90.9,4.5,dur,5,106,18,150,1500,180,3.0,360,26
95.4,5.4,dur,6,112,18,150,1500,180,3.9000000000000004,468,70
100.8,4.5,dur,5,117,84,700,1500,180,3.0,360,89
105.3,6.3,dur,7,124,39,325,1500,180,4.8,576,42
111.6,5.4,dur,6,130,0,0,1500,180,3.9000000000000004,468,10
117.0,8.1,dur,9,139,6,50,1500,180,6.6,792,1
125.1,6.3,dur,7,146,39,325,1500,180,4.8,576,49
131.4,4.5,dur,5,151,57,475,1500,180,3.0,360,97
135.9,7.2,dur,8,159,57,475,1500,180,5.7,684,20
143.1,4.5,dur,5,164,27,225,1500,180,3.0,360,83
147.6,9.0,dur,10,174,0,0,1500,180,7.5,900,0
156.6,7.2,dur,8,182,180,1500,1500,180,5.7,684,145
163.8,6.3,dur,7,189,0,0,1500,180,4.8,576,58
170.1,4.5,dur,5,194,0,0,1500,180,3.0,360,109
174.6,7.2,dur,8,202,12,100,1500,180,5.7,684,116
181.8,4.5,dur,5,207,0,0,1500,180,3.0,360,142
186.3,5.4,dur,6,213,27,225,1500,180,3.9000000000000004,468,64
191.7,4.5,dur,5,218,27,225,1500,180,3.0,360,103
196.2,9.9,dur,11,229,123,1025,1500,180,8.4,1008,95
206.1,4.5,dur,5,234,6,50,1500,180,3.0,360,27
210.6,4.5,dur,5,239,180,1500,1500,180,3.0,360,84
215.1,4.5,dur,5,244,39,325,1500,180,3.0,360,119
219.6,4.5,dur,5,249,12,100,1500,180,3.0,360,92
224.1,4.5,dur,5,254,39,325,1500,180,3.0,360,120
228.6,9.9,dur,11,265,6,50,1500,180,8.4,1008,155
238.5,4.5,dur,5,270,6,50,1500,180,3.0,360,13
243.0,4.5,dur,5,275,84,700,1500,180,3.0,360,157
247.5,5.4,dur,6,281,123,1025,1500,180,3.9000000000000004,468,101
252.9,4.5,dur,5,286,18,150,1500,180,3.0,360,31
257.4,7.2,dur,8,294,57,475,1500,180,5.7,684,117
264.6,4.5,dur,5,299,180,1500,1500,180,3.0,360,60
269.1,9.0,dur,10,309,9,75,1500,180,7.5,900,15
278.1,4.5,dur,5,314,123,1025,1500,180,3.0,360,144
282.6,4.5,dur,5,319,180,1500,1500,180,3.0,360,137
287.1,4.5,dur,5,324,0,0,1500,180,3.0,360,135
291.6,4.5,dur,5,329,9,75,1500,180,3.0,360,127
296.1,4.5,dur,5,334,18,150,1500,180,3.0,360,30
300.6,4.5,dur,5,339,39,325,1500,180,3.0,360,76
305.1,4.5,dur,5,344,18,150,1500,180,3.0,360,113
309.6,4.5,dur,5,349,9,75,1500,180,3.0,360,131
314.1,4.5,dur,5,354,0,0,1500,180,3.0,360,50
318.6,5.4,dur,6,360,123,1025,1500,180,3.9000000000000004,468,37
