time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,123,1025,87000,10440,3.0,360,127
4.5,4.5,dur,5,10,18,150,87000,10440,3.0,360,88
9.0,5.4,dur,6,16,39,325,87000,10440,3.9000000000000004,468,121
14.4,8.1,dur,9,25,84,700,87000,10440,6.6,792,15
22.5,5.4,dur,6,31,57,475,87000,10440,3.9000000000000004,468,39
27.9,4.5,dur,5,36,6,50,87000,10440,3.0,360,68
32.4,6.3,dur,7,43,6,50,87000,10440,4.8,576,117
38.7,4.5,dur,5,48,18,150,87000,10440,3.0,360,46
43.2,5.4,dur,6,54,6,50,87000,10440,3.9000000000000004,468,78
48.6,7.2,dur,8,62,9,75,87000,10440,5.7,684,77
55.8,4.5,dur,5,67,180,1500,87000,10440,3.0,360,49
60.3,4.5,dur,5,72,57,475,87000,10440,3.0,360,142
64.8,6.3,dur,7,79,12,100,87000,10440,4.8,576,1
71.1,5.4,dur,6,85,12,100,87000,10440,3.9000000000000004,468,125
76.5,4.5,dur,5,90,180,1500,87000,10440,3.0,360,70
81.0,4.5,dur,5,95,84,700,87000,10440,3.0,360,73
85.5,6.3,dur,7,102,0,0,87000,10440,4.8,576,126
91.8,4.5,dur,5,107,57,475,87000,10440,3.0,360,19
96.3,8.1,dur,9,116,180,1500,87000,10440,6.6,792,113
104.4,5.4,dur,6,122,39,325,87000,10440,3.9000000000000004,468,98
109.8,4.5,dur,5,127,9,75,87000,10440,3.0,360,82
114.3,5.4,dur,6,133,12,100,87000,10440,3.9000000000000004,468,129
119.7,4.5,dur,5,138,0,0,87000,10440,3.0,360,55
124.2,6.3,dur,7,145,9,75,87000,10440,4.8,576,71
130.5,5.4,dur,6,151,0,0,87000,10440,3.9000000000000004,468,5
135.9,4.5,dur,5,156,18,150,87000,10440,3.0,360,52
140.4,4.5,dur,5,161,9,75,87000,10440,3.0,360,41
144.9,4.5,dur,5,166,27,225,87000,10440,3.0,360,7
149.4,5.4,dur,6,172,27,225,87000,10440,3.9000000000000004,468,157
154.8,4.5,dur,5,177,57,475,87000,10440,3.0,360,107
159.3,4.5,dur,5,182,123,1025,87000,10440,3.0,360,83
163.8,6.3,dur,7,189,6,50,87000,10440,4.8,576,4
170.1,9.0,dur,10,199,6,50,87000,10440,7.5,900,12
179.1,4.5,dur,5,204,123,1025,87000,10440,3.0,360,86
183.6,8.1,dur,9,213,123,1025,87000,10440,6.6,792,150
191.7,5.4,dur,6,219,9,75,87000,10440,3.9000000000000004,468,158
197.1,4.5,dur,5,224,18,150,87000,10440,3.0,360,103
201.6,9.9,dur,11,235,84,700,87000,10440,8.4,1008,149
211.5,5.4,dur,6,241,180,1500,87000,10440,3.9000000000000004,468,6
216.9,8.1,dur,9,250,180,1500,87000,10440,6.6,792,143
225.0,6.3,dur,7,257,123,1025,87000,10440,4.8,576,69
231.3,4.5,dur,5,262,0,0,87000,10440,3.0,360,97
235.8,4.5,dur,5,267,39,325,87000,10440,3.0,360,42
240.3,9.9,dur,11,278,0,0,87000,10440,8.4,1008,74
250.2,4.5,dur,5,283,27,225,87000,10440,3.0,360,145
254.7,5.4,dur,6,289,0,0,87000,10440,3.9000000000000004,468,139
260.1,4.5,dur,5,294,12,100,87000,10440,3.0,360,112
264.6,6.3,dur,7,301,57,475,87000,10440,4.8,576,13
270.9,4.5,dur,5,306,84,700,87000,10440,3.0,360,65
275.4,4.5,dur,5,311,12,100,87000,10440,3.0,360,33
279.9,7.2,dur,8,319,27,225,87000,10440,5.7,684,0
287.1,5.4,dur,6,325,39,325,87000,10440,3.9000000000000004,468,16
292.5,5.4,dur,6,331,27,225,87000,10440,3.9000000000000004,468,95
297.9,4.5,dur,5,336,39,325,87000,10440,3.0,360,130
302.4,5.4,dur,6,342,18,150,87000,10440,3.9000000000000004,468,120
307.8,6.3,dur,7,349,0,0,87000,10440,4.8,576,148
314.1,4.5,dur,5,354,0,0,87000,10440,3.0,360,135
318.6,5.4,dur,6,360,84,700,87000,10440,3.9000000000000004,468,118
