time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,1500,180,3.0,360,137
4.5,7.2,dur,8,13,180,1500,1500,180,5.7,684,126
11.7,5.4,dur,6,19,57,475,1500,180,3.9000000000000004,468,125
17.1,4.5,dur,5,24,0,0,1500,180,3.0,360,70
21.6,5.4,dur,6,30,39,325,1500,180,3.9000000000000004,468,23
27.0,4.5,dur,5,35,180,1500,1500,180,3.0,360,101
31.5,6.3,dur,7,42,12,100,1500,180,4.8,576,83
37.8,4.5,dur,5,47,84,700,1500,180,3.0,360,133
42.3,4.5,dur,5,52,6,50,1500,180,3.0,360,82
46.8,5.4,dur,6,58,123,1025,1500,180,3.9000000000000004,468,90
52.2,10.8,dur,12,70,27,225,1500,180,9.3,1116,129
63.0,6.3,dur,7,77,84,700,1500,180,4.8,576,60
69.3,4.5,dur,5,82,39,325,1500,180,3.0,360,127
73.8,6.3,dur,7,89,12,100,1500,180,4.8,576,106
80.1,4.5,dur,5,94,6,50,1500,180,3.0,360,124
84.6,4.5,dur,5,99,0,0,1500,180,3.0,360,39
89.1,4.5,dur,5,104,0,0,1500,180,3.0,360,62
93.6,4.5,dur,5,109,57,475,1500,180,3.0,360,10
98.1,4.5,dur,5,114,12,100,1500,180,3.0,360,99
102.6,10.8,dur,12,126,57,475,1500,180,9.3,1116,123
113.4,4.5,dur,5,131,27,225,1500,180,3.0,360,93
117.9,8.1,dur,9,140,57,475,1500,180,6.6,792,65
126.0,5.4,dur,6,146,27,225,1500,180,3.9000000000000004,468,13
131.4,4.5,dur,5,151,12,100,1500,180,3.0,360,91
135.9,4.5,dur,5,156,123,1025,1500,180,3.0,360,116
140.4,8.1,dur,9,165,39,325,1500,180,6.6,792,9
148.5,4.5,dur,5,170,6,50,1500,180,3.0,360,156
153.0,5.4,dur,6,176,180,1500,1500,180,3.9000000000000004,468,64
158.4,4.5,dur,5,181,39,325,1500,180,3.0,360,142
162.9,4.5,dur,5,186,39,325,1500,180,3.0,360,5
167.4,8.1,dur,9,195,18,150,1500,180,6.6,792,103
175.5,5.4,dur,6,201,123,1025,1500,180,3.9000000000000004,468,100
180.9,4.5,dur,5,206,18,150,1500,180,3.0,360,158
185.4,4.5,dur,5,211,9,75,1500,180,3.0,360,121
189.9,5.4,dur,6,217,84,700,1500,180,3.9000000000000004,468,51
195.3,9.0,dur,10,227,123,1025,1500,180,7.5,900,31
204.3,7.2,dur,8,235,9,75,1500,180,5.7,684,108
211.5,5.4,dur,6,241,180,1500,1500,180,3.9000000000000004,468,54
216.9,5.4,dur,6,247,123,1025,1500,180,3.9000000000000004,468,15
222.3,4.5,dur,5,252,9,75,1500,180,3.0,360,55
226.8,6.3,dur,7,259,12,100,1500,180,4.8,576,81
233.1,5.4,dur,6,265,0,0,1500,180,3.9000000000000004,468,58
238.5,4.5,dur,5,270,18,150,1500,180,3.0,360,14
243.0,8.1,dur,9,279,84,700,1500,180,6.6,792,68
251.1,5.4,dur,6,285,9,75,1500,180,3.9000000000000004,468,151
256.5,4.5,dur,5,290,0,0,1500,180,3.0,360,147
261.0,4.5,dur,5,295,6,50,1500,180,3.0,360,113
265.5,4.5,dur,5,300,84,700,1500,180,3.0,360,2
270.0,4.5,dur,5,305,18,150,1500,180,3.0,360,74
274.5,4.5,dur,5,310,6,50,1500,180,3.0,360,139
279.0,4.5,dur,5,315,27,225,1500,180,3.0,360,88
283.5,4.5,dur,5,320,0,0,1500,180,3.0,360,104
288.0,4.5,dur,5,325,180,1500,1500,180,3.0,360,21
292.5,4.5,dur,5,330,0,0,1500,180,3.0,360,120
297.0,4.5,dur,5,335,9,75,1500,180,3.0,360,135
301.5,4.5,dur,5,340,18,150,1500,180,3.0,360,109
306.0,6.3,dur,7,347,0,0,1500,180,4.8,576,38
312.3,11.7,dur,13,360,27,225,1500,180,10.2,1224,1
