time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,5.4,dur,6,6,57,475,1500,180,3.9000000000000004,468,119
5.4,4.5,dur,5,11,180,1500,1500,180,3.0,360,61
9.9,4.5,dur,5,16,180,1500,1500,180,3.0,360,78
14.4,5.4,dur,6,22,6,50,1500,180,3.9000000000000004,468,21
19.8,5.4,dur,6,28,12,100,1500,180,3.9000000000000004,468,148
25.2,4.5,dur,5,33,180,1500,1500,180,3.0,360,20
29.7,5.4,dur,6,39,0,0,1500,180,3.9000000000000004,468,46
35.1,11.7,dur,13,52,84,700,1500,180,10.2,1224,104
46.8,4.5,dur,5,57,39,325,1500,180,3.0,360,47
51.3,4.5,dur,5,62,27,225,1500,180,3.0,360,118
55.8,5.4,dur,6,68,39,325,1500,180,3.9000000000000004,468,30
61.2,4.5,dur,5,73,18,150,1500,180,3.0,360,45
65.7,9.0,dur,10,83,0,0,1500,180,7.5,900,56
74.7,4.5,dur,5,88,27,225,1500,180,3.0,360,141
79.2,6.3,dur,7,95,9,75,1500,180,4.8,576,154
85.5,4.5,dur,5,100,0,0,1500,180,3.0,360,1
90.0,4.5,dur,5,105,123,1025,1500,180,3.0,360,70
94.5,6.3,dur,7,112,18,150,1500,180,4.8,576,5
100.8,4.5,dur,5,117,6,50,1500,180,3.0,360,112
105.3,4.5,dur,5,122,6,50,1500,180,3.0,360,19
109.8,4.5,dur,5,127,9,75,1500,180,3.0,360,6
114.3,6.3,dur,7,134,123,1025,1500,180,4.8,576,147
120.6,7.2,dur,8,142,27,225,1500,180,5.7,684,143
127.8,5.4,dur,6,148,84,700,1500,180,3.9000000000000004,468,69
133.2,4.5,dur,5,153,27,225,1500,180,3.0,360,152
137.7,6.3,dur,7,160,180,1500,1500,180,4.8,576,121
144.0,4.5,dur,5,165,12,100,1500,180,3.0,360,108
148.5,6.3,dur,7,172,12,100,1500,180,4.8,576,4
154.8,6.3,dur,7,179,18,150,1500,180,4.8,576,126
161.1,4.5,dur,5,184,57,475,1500,180,3.0,360,66
165.6,8.1,dur,9,193,84,700,1500,180,6.6,792,106
173.7,4.5,dur,5,198,123,1025,1500,180,3.0,360,87
178.2,5.4,dur,6,204,39,325,1500,180,3.9000000000000004,468,33
183.6,6.3,dur,7,211,84,700,1500,180,4.8,576,3
189.9,9.0,dur,10,221,12,100,1500,180,7.5,900,103
198.9,4.5,dur,5,226,6,50,1500,180,3.0,360,63
203.4,5.4,dur,6,232,84,700,1500,180,3.9000000000000004,468,153
208.8,4.5,dur,5,237,18,150,1500,180,3.0,360,0
213.3,6.3,dur,7,244,39,325,1500,180,4.8,576,100
219.6,4.5,dur,5,249,57,475,1500,180,3.0,360,114
224.1,8.1,dur,9,258,18,150,1500,180,6.6,792,155
232.2,6.3,dur,7,265,123,1025,1500,180,4.8,576,115
238.5,7.2,dur,8,273,9,75,1500,180,5.7,684,64
245.7,4.5,dur,5,278,27,225,1500,180,3.0,360,95
250.2,4.5,dur,5,283,123,1025,1500,180,3.0,360,10
254.7,4.5,dur,5,288,0,0,1500,180,3.0,360,42
259.2,7.2,dur,8,296,0,0,1500,180,5.7,684,131
266.4,4.5,dur,5,301,9,75,1500,180,3.0,360,75
270.9,5.4,dur,6,307,6,50,1500,180,3.9000000000000004,468,113
276.3,5.4,dur,6,313,39,325,1500,180,3.9000000000000004,468,102
281.7,4.5,dur,5,318,0,0,1500,180,3.0,360,55
286.2,4.5,dur,5,323,57,475,1500,180,3.0,360,57
290.7,4.5,dur,5,328,57,475,1500,180,3.0,360,84
295.2,4.5,dur,5,333,0,0,1500,180,3.0,360,137
299.7,4.5,dur,5,338,180,1500,1500,180,3.0,360,88
304.2,4.5,dur,5,343,12,100,1500,180,3.0,360,53
308.7,9.9,dur,11,354,9,75,1500,180,8.4,1008,12
318.6,5.4,dur,6,360,0,0,1500,180,3.9000000000000004,468,32
